contig_id,proteins
Escherichia~phage~PA28,90
Escherichia~phage~PE3-1,48
Escherichia~phage~PGN590,51
Escherichia~phage~PGT2,46
Escherichia~phage~PhaxI,209
Escherichia~phage~Pollock,85
Escherichia~phage~RCS47,124
Escherichia~phage~SH2026Stx1,79
Escherichia~phage~SRT7,47
Escherichia~phage~SRT8,84
Escherichia~phage~ST0,266
Escherichia~phage~ST31,45
Escherichia~phage~SUSP1,138
Escherichia~phage~SUSP2,132
Escherichia~phage~Seurat,88
Escherichia~phage~Skarpretter,63
Escherichia~phage~Sortsne,62
Escherichia~phage~TL-2011b,57
Escherichia~phage~TL-2011c,72
Escherichia~phage~UFV-AREG1,274
Escherichia~phage~V18,207
Escherichia~phage~VB_EcoS-Golestan,78
Escherichia~phage~WG01,273
Escherichia~phage~Wphi,44
Escherichia~phage~YD-2008.s,62
Escherichia~phage~YZ1,41
Escherichia~phage~ZG49,44
Escherichia~phage~aalborv,71
Escherichia~phage~aaroes,82
Escherichia~phage~atuna,84
Escherichia~phage~damhaus,80
Escherichia~phage~e11/2,41
Escherichia~phage~e4/1c,72
Escherichia~phage~egaa,80
Escherichia~phage~fp01,158
Escherichia~phage~grams,76
Escherichia~phage~haarsle,74
Escherichia~phage~herni,83
Escherichia~phage~phAPEC8,269
Escherichia~phage~phi191,87
Escherichia~phage~phiKT,31
Escherichia~phage~phiLLS,160
Escherichia~phage~phiV10,55
Escherichia~phage~pro147,44
Escherichia~phage~pro483,43
Escherichia~phage~slur01,72
Escherichia~phage~slur02,174
Escherichia~phage~slur03,5
Escherichia~phage~slur04,266
Escherichia~phage~slur05,58
Escherichia~phage~slur07,266
Escherichia~phage~slur14,272
Escherichia~phage~slur16,13
Escherichia~phage~tonijn,84
Escherichia~phage~tonn,86
Escherichia~phage~tonnikala,83
